DataObito,TipificacaoJuridico,Municipio,Bairro,Rua/Logradouro,RISP,IdadeEnvolvido,Genero,CorEnvolvido,Latitude,Longitude
1/22/1996,Homicídio Doloso,SAO MATEUS,,,RISP 02,27,1 - Masculino,Não Informado,,
1/22/1996,Homicídio Doloso,CARIACICA,,,RISP 01,16,1 - Masculino,Não Informado,,
1/23/1996,Homicídio Doloso,CONCEICAO DA BARRA,,,RISP 02,43,1 - Masculino,Não Informado,,
1/23/1996,Homicídio Doloso,VITORIA,,,RISP 01,41,1 - Masculino,Não Informado,,
1/23/1996,Homicídio Doloso,SERRA,,,RISP 01,42,1 - Masculino,Não Informado,,
1/23/1996,Homicídio Doloso,VITORIA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/24/1996,Homicídio Doloso,SERRA,,,RISP 01,19,1 - Masculino,Não Informado,,
1/24/1996,Homicídio Doloso,VITORIA,,,RISP 01,33,1 - Masculino,Não Informado,,
1/25/1996,Homicídio Doloso,VITORIA,,,RISP 01,28,1 - Masculino,Não Informado,,
1/25/1996,Homicídio Doloso,CARIACICA,,,RISP 01,37,1 - Masculino,Não Informado,,
1/26/1996,Homicídio Doloso,VITORIA,,,RISP 01,20,1 - Masculino,Não Informado,,
1/26/1996,Homicídio Doloso,SERRA,,,RISP 01,31,1 - Masculino,Não Informado,,
1/27/1996,Homicídio Doloso,RIO NOVO DO SUL,,,RISP 03,39,1 - Masculino,Não Informado,,
1/27/1996,Homicídio Doloso,VITORIA,,,RISP 01,19,1 - Masculino,Não Informado,,
1/27/1996,Homicídio Doloso,BAIXO GUANDU,,,RISP 04,29,1 - Masculino,Não Informado,,
1/28/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,25,1 - Masculino,Não Informado,,
1/28/1996,Homicídio Doloso,SERRA,,,RISP 01,26,1 - Masculino,Não Informado,,
1/28/1996,Homicídio Doloso,PINHEIROS,,,RISP 04,23,1 - Masculino,Não Informado,,
1/28/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,38,1 - Masculino,Não Informado,,
1/28/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,26,2 - Feminino,Não Informado,,
1/29/1996,Homicídio Doloso,VITORIA,,,RISP 01,15,1 - Masculino,Não Informado,,
1/29/1996,Homicídio Doloso,BAIXO GUANDU,,,RISP 04,49,1 - Masculino,Não Informado,,
1/29/1996,Homicídio Doloso,SERRA,,,RISP 01,20,1 - Masculino,Não Informado,,
1/29/1996,Homicídio Doloso,PINHEIROS,,,RISP 04,22,1 - Masculino,Não Informado,,
1/30/1996,Homicídio Doloso,CARIACICA,,,RISP 01,47,1 - Masculino,Não Informado,,
1/30/1996,Homicídio Doloso,CARIACICA,,,RISP 01,76,2 - Feminino,Não Informado,,
1/31/1996,Homicídio Doloso,CARIACICA,,,RISP 01,21,1 - Masculino,Não Informado,,
1/31/1996,Homicídio Doloso,SERRA,,,RISP 01,26,1 - Masculino,Não Informado,,
1/31/1996,Homicídio Doloso,VITORIA,,,RISP 01,38,1 - Masculino,Não Informado,,
1/31/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,31,1 - Masculino,Não Informado,,
1/31/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,7,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,16,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,CARIACICA,,,RISP 01,21,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,22,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,CARIACICA,,,RISP 01,16,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,VITORIA,,,RISP 01,24,1 - Masculino,Não Informado,,
2/1/1996,Homicídio Doloso,SAO MATEUS,,,RISP 02,31,2 - Feminino,Não Informado,,
2/2/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,49,1 - Masculino,Não Informado,,
2/2/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,30,1 - Masculino,Não Informado,,
2/2/1996,Homicídio Doloso,VITORIA,,,RISP 01,23,1 - Masculino,Não Informado,,
2/2/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,20,1 - Masculino,Não Informado,,
2/2/1996,Homicídio Doloso,VIANA,,,RISP 01,18,1 - Masculino,Não Informado,,
2/2/1996,Homicídio Doloso,SERRA,,,RISP 01,30,2 - Feminino,Não Informado,,
2/3/1996,Homicídio Doloso,LINHARES,,,RISP 02,32,1 - Masculino,Não Informado,,
2/3/1996,Homicídio Doloso,CARIACICA,,,RISP 01,35,1 - Masculino,Não Informado,,
2/3/1996,Homicídio Doloso,VITORIA,,,RISP 01,45,1 - Masculino,Não Informado,,
2/3/1996,Homicídio Doloso,VITORIA,,,RISP 01,24,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,NOVA VENECIA,,,RISP 04,52,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,CARIACICA,,,RISP 01,28,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,CARIACICA,,,RISP 01,17,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,CARIACICA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,CARIACICA,,,RISP 01,26,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,CARIACICA,,,RISP 01,16,1 - Masculino,Não Informado,,
2/4/1996,Homicídio Doloso,NOVA VENECIA,,,RISP 04,57,1 - Masculino,Não Informado,,
2/5/1996,Homicídio Doloso,CARIACICA,,,RISP 01,14,1 - Masculino,Não Informado,,
2/5/1996,Homicídio Doloso,CARIACICA,,,RISP 01,85,1 - Masculino,Não Informado,,
2/5/1996,Homicídio Doloso,SERRA,,,RISP 01,29,1 - Masculino,Não Informado,,
2/5/1996,Homicídio Doloso,VIANA,,,RISP 01,57,1 - Masculino,Não Informado,,
2/5/1996,Homicídio Doloso,COLATINA,,,RISP 04,,2 - Feminino,Não Informado,,
2/7/1996,Homicídio Doloso,SERRA,,,RISP 01,34,1 - Masculino,Não Informado,,
2/7/1996,Homicídio Doloso,SERRA,,,RISP 01,21,1 - Masculino,Não Informado,,
2/7/1996,Homicídio Doloso,SERRA,,,RISP 01,49,1 - Masculino,Não Informado,,
2/7/1996,Homicídio Doloso,CARIACICA,,,RISP 01,28,2 - Feminino,Não Informado,,
2/8/1996,Homicídio Doloso,IBATIBA,,,RISP 05,20,1 - Masculino,Não Informado,,
2/8/1996,Homicídio Doloso,VITORIA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/8/1996,Homicídio Doloso,VITORIA,,,RISP 01,77,2 - Feminino,Não Informado,,
2/9/1996,Homicídio Doloso,COLATINA,,,RISP 04,35,1 - Masculino,Não Informado,,
2/9/1996,Homicídio Doloso,CARIACICA,,,RISP 01,34,1 - Masculino,Não Informado,,
2/9/1996,Homicídio Doloso,IBATIBA,,,RISP 05,24,2 - Feminino,Não Informado,,
2/10/1996,Homicídio Doloso,VITORIA,,,RISP 01,18,1 - Masculino,Não Informado,,
2/10/1996,Homicídio Doloso,SERRA,,,RISP 01,23,1 - Masculino,Não Informado,,
2/10/1996,Homicídio Doloso,CARIACICA,,,RISP 01,24,1 - Masculino,Não Informado,,
2/10/1996,Homicídio Doloso,COLATINA,,,RISP 04,43,1 - Masculino,Não Informado,,
2/11/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,26,1 - Masculino,Não Informado,,
2/11/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,18,1 - Masculino,Não Informado,,
2/11/1996,Homicídio Doloso,SERRA,,,RISP 01,36,1 - Masculino,Não Informado,,
2/11/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,39,2 - Feminino,Não Informado,,
2/11/1996,Homicídio Doloso,CARIACICA,,,RISP 01,25,2 - Feminino,Não Informado,,
2/12/1996,Homicídio Doloso,VIANA,,,RISP 01,22,1 - Masculino,Não Informado,,
2/12/1996,Homicídio Doloso,VIANA,,,RISP 01,30,1 - Masculino,Não Informado,,
2/12/1996,Homicídio Doloso,VITORIA,,,RISP 01,18,1 - Masculino,Não Informado,,
2/12/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,21,1 - Masculino,Não Informado,,
2/13/1996,Homicídio Doloso,SERRA,,,RISP 01,21,1 - Masculino,Não Informado,,
2/13/1996,Homicídio Doloso,ALEGRE,,,RISP 03,30,1 - Masculino,Não Informado,,
2/13/1996,Homicídio Doloso,CONCEICAO DA BARRA,,,RISP 02,19,2 - Feminino,Não Informado,,
2/14/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,,1 - Masculino,Não Informado,,
2/14/1996,Homicídio Doloso,SANTA MARIA DE JETIBA,,,RISP 05,46,1 - Masculino,Não Informado,,
2/14/1996,Homicídio Doloso,CARIACICA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/14/1996,Homicídio Doloso,CARIACICA,,,RISP 01,21,1 - Masculino,Não Informado,,
2/14/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/14/1996,Homicídio Doloso,VITORIA,,,RISP 01,19,1 - Masculino,Não Informado,,
2/15/1996,Homicídio Doloso,CARIACICA,,,RISP 01,41,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,41,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,CARIACICA,,,RISP 01,36,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,LINHARES,,,RISP 02,26,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,SAO MATEUS,,,RISP 02,26,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,SANTA TERESA,,,RISP 05,26,1 - Masculino,Não Informado,,
2/16/1996,Homicídio Doloso,GUACUI,,,RISP 03,25,1 - Masculino,Não Informado,,
2/17/1996,Homicídio Doloso,SERRA,,,RISP 01,37,1 - Masculino,Não Informado,,
2/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,40,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,VITORIA,,,RISP 01,19,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,42,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,VITORIA,,,RISP 01,24,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,IUNA,,,RISP 05,27,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,CARIACICA,,,RISP 01,26,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,IUNA,,,RISP 05,35,1 - Masculino,Não Informado,,
2/18/1996,Homicídio Doloso,GUARAPARI,,,RISP 01,72,1 - Masculino,Não Informado,,
2/19/1996,Homicídio Doloso,JOAO NEIVA,,,RISP 02,54,1 - Masculino,Não Informado,,
2/19/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,16,1 - Masculino,Não Informado,,
2/20/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/20/1996,Homicídio Doloso,CARIACICA,,,RISP 01,21,1 - Masculino,Não Informado,,
2/20/1996,Homicídio Doloso,SERRA,,,RISP 01,36,1 - Masculino,Não Informado,,
2/22/1996,Homicídio Doloso,CARIACICA,,,RISP 01,32,1 - Masculino,Não Informado,,
2/23/1996,Homicídio Doloso,CARIACICA,,,RISP 01,17,1 - Masculino,Não Informado,,
2/23/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,26,1 - Masculino,Não Informado,,
2/23/1996,Homicídio Doloso,SERRA,,,RISP 01,36,1 - Masculino,Não Informado,,
2/23/1996,Homicídio Doloso,VITORIA,,,RISP 01,37,2 - Feminino,Não Informado,,
2/24/1996,Homicídio Doloso,CARIACICA,,,RISP 01,13,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,SERRA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,SERRA,,,RISP 01,37,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,28,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,GUACUI,,,RISP 03,25,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,CARIACICA,,,RISP 01,27,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,SERRA,,,RISP 01,34,1 - Masculino,Não Informado,,
2/25/1996,Homicídio Doloso,MARILANDIA,,,RISP 04,14,2 - Feminino,Não Informado,,
2/26/1996,Homicídio Doloso,VIANA,,,RISP 01,22,2 - Feminino,Não Informado,,
2/27/1996,Homicídio Doloso,SERRA,,,RISP 01,61,1 - Masculino,Não Informado,,
2/27/1996,Homicídio Doloso,VITORIA,,,RISP 01,54,1 - Masculino,Não Informado,,
2/27/1996,Homicídio Doloso,COLATINA,,,RISP 04,42,2 - Feminino,Não Informado,,
2/28/1996,Homicídio Doloso,LINHARES,,,RISP 02,39,1 - Masculino,Não Informado,,
2/29/1996,Homicídio Doloso,SERRA,,,RISP 01,43,1 - Masculino,Não Informado,,
2/29/1996,Homicídio Doloso,SERRA,,,RISP 01,29,1 - Masculino,Não Informado,,
2/29/1996,Homicídio Doloso,VITORIA,,,RISP 01,16,1 - Masculino,Não Informado,,
2/29/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,31,2 - Feminino,Não Informado,,
3/1/1996,Homicídio Doloso,VITORIA,,,RISP 01,46,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,19,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,CARIACICA,,,RISP 01,19,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,CARIACICA,,,RISP 01,,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,VIANA,,,RISP 01,38,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,VIANA,,,RISP 01,21,1 - Masculino,Não Informado,,
3/1/1996,Homicídio Doloso,CARIACICA,,,RISP 01,,9 - Desconhecido,Não Informado,,
3/2/1996,Homicídio Doloso,CONCEICAO DA BARRA,,,RISP 02,24,1 - Masculino,Não Informado,,
3/2/1996,Homicídio Doloso,IUNA,,,RISP 05,42,1 - Masculino,Não Informado,,
3/2/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,24,2 - Feminino,Não Informado,,
3/3/1996,Homicídio Doloso,VITORIA,,,RISP 01,35,1 - Masculino,Não Informado,,
3/3/1996,Homicídio Doloso,ALFREDO CHAVES,,,RISP 03,21,1 - Masculino,Não Informado,,
3/4/1996,Homicídio Doloso,ALEGRE,,,RISP 03,24,1 - Masculino,Não Informado,,
3/4/1996,Homicídio Doloso,LINHARES,,,RISP 02,24,1 - Masculino,Não Informado,,
3/4/1996,Homicídio Doloso,SAO MATEUS,,,RISP 02,48,1 - Masculino,Não Informado,,
3/5/1996,Homicídio Doloso,CONCEICAO DO CASTELO,,,RISP 05,41,1 - Masculino,Não Informado,,
3/5/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,23,1 - Masculino,Não Informado,,
3/5/1996,Homicídio Doloso,CONCEICAO DO CASTELO,,,RISP 05,28,2 - Feminino,Não Informado,,
3/6/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,37,1 - Masculino,Não Informado,,
3/6/1996,Homicídio Doloso,VIANA,,,RISP 01,17,1 - Masculino,Não Informado,,
3/7/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,63,1 - Masculino,Não Informado,,
3/7/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,18,1 - Masculino,Não Informado,,
3/8/1996,Homicídio Doloso,PEDRO CANARIO,,,RISP 02,39,1 - Masculino,Não Informado,,
3/8/1996,Homicídio Doloso,VITORIA,,,RISP 01,39,1 - Masculino,Não Informado,,
3/8/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,30,1 - Masculino,Não Informado,,
3/8/1996,Homicídio Doloso,VITORIA,,,RISP 01,31,1 - Masculino,Não Informado,,
3/9/1996,Homicídio Doloso,VITORIA,,,RISP 01,23,1 - Masculino,Não Informado,,
3/9/1996,Homicídio Doloso,GUARAPARI,,,RISP 01,50,1 - Masculino,Não Informado,,
3/9/1996,Homicídio Doloso,CACHOEIRO DE ITAPEMIRIM,,,RISP 03,43,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,25,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,PINHEIROS,,,RISP 04,34,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,VITORIA,,,RISP 01,25,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,19,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,SAO MATEUS,,,RISP 02,20,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,LINHARES,,,RISP 02,27,1 - Masculino,Não Informado,,
3/10/1996,Homicídio Doloso,BARRA DE SAO FRANCISCO,,,RISP 04,52,2 - Feminino,Não Informado,,
3/11/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,,1 - Masculino,Não Informado,,
3/11/1996,Homicídio Doloso,CARIACICA,,,RISP 01,17,1 - Masculino,Não Informado,,
3/12/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,22,1 - Masculino,Não Informado,,
3/12/1996,Homicídio Doloso,SERRA,,,RISP 01,14,1 - Masculino,Não Informado,,
3/13/1996,Homicídio Doloso,LINHARES,,,RISP 02,35,1 - Masculino,Não Informado,,
3/14/1996,Homicídio Doloso,SERRA,,,RISP 01,21,1 - Masculino,Não Informado,,
3/14/1996,Homicídio Doloso,LINHARES,,,RISP 02,22,2 - Feminino,Não Informado,,
3/15/1996,Homicídio Doloso,SERRA,,,RISP 01,24,1 - Masculino,Não Informado,,
3/16/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,63,1 - Masculino,Não Informado,,
3/16/1996,Homicídio Doloso,COLATINA,,,RISP 04,26,1 - Masculino,Não Informado,,
3/16/1996,Homicídio Doloso,SERRA,,,RISP 01,21,1 - Masculino,Não Informado,,
3/16/1996,Homicídio Doloso,CARIACICA,,,RISP 01,31,1 - Masculino,Não Informado,,
3/16/1996,Homicídio Doloso,SERRA,,,RISP 01,41,1 - Masculino,Não Informado,,
3/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,40,1 - Masculino,Não Informado,,
3/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,35,1 - Masculino,Não Informado,,
3/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,28,1 - Masculino,Não Informado,,
3/17/1996,Homicídio Doloso,VITORIA,,,RISP 01,32,1 - Masculino,Não Informado,,
3/17/1996,Homicídio Doloso,SERRA,,,RISP 01,33,2 - Feminino,Não Informado,,
3/18/1996,Homicídio Doloso,AFONSO CLAUDIO,,,RISP 05,43,1 - Masculino,Não Informado,,
3/18/1996,Homicídio Doloso,GUARAPARI,,,RISP 01,16,1 - Masculino,Não Informado,,
3/18/1996,Homicídio Doloso,SERRA,,,RISP 01,16,1 - Masculino,Não Informado,,
3/19/1996,Homicídio Doloso,CARIACICA,,,RISP 01,31,1 - Masculino,Não Informado,,
3/19/1996,Homicídio Doloso,VILA VELHA,,,RISP 01,32,1 - Masculino,Não Informado,,
